id_fornecedor,cnpj,nome_fornecedor,cidade,uf,porte
1,18032585796468,MAX LIMPEZA 1,Belo Horizonte,RJ,EPP
2,49499059489686,Beta Tecnologia 2,Rio de Janeiro,CE,MÉDIA
3,17735107727527,Alpha Serviços 3,Salvador,CE,EPP
4,18475961573796,Top Energia 4,Belém,CE,MEI
5,76217712784973,Omega Consultoria 5,Rio de Janeiro,DF,MEI
6,80745786561821,Delta Saúde 6,Recife,RN,EPP
7,85577339505354,Delta Saúde 7,Fortaleza,AM,GRANDE
8,43371821264292,Gamma Construções 8,Recife,RN,MÉDIA
9,80341070679445,Top Energia 9,Fortaleza,RS,EPP
10,84048544590849,Beta Tecnologia 10,Fortaleza,PE,MÉDIA
11,50541359304418,Max Limpeza 11,São Paulo,PA,EPP
12,59912630899015,Top Energia 12,Juazeiro,MG,EPP
13,87246215844734,Rápida Logística 13,Salvador,GO,ME
14,66849795248677,Prime Alimentação 14,Juazeiro,RJ,EPP
15,73047066419016,Beta Tecnologia 15,Juazeiro,GO,EPP
16,97362821501089,Nova Segurança 16,Manaus,MG,GRANDE
17,71012710800477,Sul Engenharia 17,Curitiba,MG,ME
18,27517483427451,Alpha Serviços 18,Fortaleza,AM,EPP
19,54801238139458,Alpha Serviços 19,Porto Alegre,RN,MEI
20,23886054768970,Beta Tecnologia 20,Porto Alegre,DF,MÉDIA
21,93027504770242,Delta Saúde 21,Manaus,RS,GRANDE
22,97075874469738,Delta Saúde 22,Recife,DF,GRANDE
23,91498217433316,Prime Alimentação 23,Belém,RN,EPP
24,52260022816026,Nova Segurança 24,Belém,AM,EPP
25,51664650216971,Alpha Serviços 25,Rio de Janeiro,PR,ME
26,52813442397130,Prime Alimentação 26,Sobral,SC,GRANDE
27,60804989702793,Delta Saúde 27,Belém,PR,MEI
28,49343672244684,Top Energia 28,Curitiba,RS,MÉDIA
29,66678786730118,Max Limpeza 29,Manaus,DF,EPP
30,38112997790984,Top Energia 30,Fortaleza,MG,EPP
31,49169499824284,Prime Alimentação 31,Rio de Janeiro,PA,EPP
32,44873053908135,Sul Engenharia 32,Fortaleza,RS,ME
33,31560200714166,Delta Saúde 33,Rio de Janeiro,MG,EPP
34,22577723849327,Central Sistemas 34,Porto Alegre,MA,EPP
35,82440919106680,Nova Segurança 35,Juazeiro,RN,GRANDE
36,80823193802269,Omega Consultoria 36,Rio de Janeiro,SC,ME
37,52441042734534,Brasil Obras 37,Manaus,CE,ME
38,60008225512954,Digital Soluções 38,São Paulo,SC,MEI
39,61186707133522,Alpha Serviços 39,Salvador,CE,EPP
40,32093304203049,Brasil Obras 40,Belo Horizonte,PA,GRANDE
41,70156265688951,Brasil Obras 41,Juazeiro,SP,EPP
42,86957199608617,Gamma Construções 42,Belém,AM,ME
43,78849896617066,Top Energia 43,Brasília,SC,EPP
44,60883598598118,Sul Engenharia 44,Belo Horizonte,DF,EPP
45,60328643815337,Norte Transportes 45,Manaus,GO,ME
46,64255441127740,Omega Consultoria 46,Salvador,BA,EPP
47,49304564984329,Gamma Construções 47,Curitiba,MA,EPP
48,34889349467698,Delta Saúde 48,São Paulo,AM,ME
49,86806275131230,Brasil Obras 49,Belo Horizonte,PR,EPP
50,83950699152486,Norte Transportes 50,Belém,PA,EPP
51,35324549925736,Beta Tecnologia 51,Juazeiro,AM,GRANDE
52,49088512695621,Beta Tecnologia 52,Belo Horizonte,PE,MEI
53,60132893554479,Sul Engenharia 53,Porto Alegre,GO,MÉDIA
54,99649620697846,Beta Tecnologia 54,Rio de Janeiro,RJ,MEI
55,46574817476182,Norte Transportes 55,Brasília,PR,EPP
56,38909415250239,Digital Soluções 56,Belo Horizonte,PE,MÉDIA
57,12044086195518,Norte Transportes 57,Salvador,SC,GRANDE
58,79439716750072,Nova Segurança 58,Belém,BA,MÉDIA
59,51568950745224,Omega Consultoria 59,Porto Alegre,MG,MEI
60,91055950550893,Brasil Obras 60,Manaus,PE,ME
61,23708089547571,Alpha Serviços 61,Juazeiro,AM,MEI
62,54606327501424,Top Energia 62,Brasília,CE,EPP
63,44291909314836,Central Sistemas 63,Salvador,SC,ME
64,71533058667164,Prime Alimentação 64,Porto Alegre,SC,GRANDE
65,42563134963617,Beta Tecnologia 65,Rio de Janeiro,PA,ME
66,40833169206140,Rápida Logística 66,Porto Alegre,MG,MÉDIA
67,96570788429690,Sul Engenharia 67,Belém,PE,ME
68,54555908729650,Beta Tecnologia 68,Salvador,CE,MÉDIA
69,33928296787796,Prime Alimentação 69,Belo Horizonte,RJ,ME
70,33717237800733,Omega Consultoria 70,Salvador,AM,ME
71,74520116810049,Digital Soluções 71,Juazeiro,RS,ME
72,76322763344917,Max Limpeza 72,Recife,DF,MÉDIA
73,18675186502290,Nova Segurança 73,Juazeiro,RS,EPP
74,21481916510172,Rápida Logística 74,Curitiba,DF,GRANDE
75,28212702749337,Digital Soluções 75,Belém,BA,MEI
76,82779466621258,Norte Transportes 76,Porto Alegre,SC,GRANDE
77,25909550516886,Nova Segurança 77,Belém,GO,MEI
78,11757159782553,Delta Saúde 78,Belo Horizonte,GO,EPP
79,74751665696948,Top Energia 79,Brasília,BA,ME
80,37780047664522,Beta Tecnologia 80,Recife,BA,EPP
81,62568816185267,Alpha Serviços 81,Salvador,SC,MÉDIA
82,66587075175977,Max Limpeza 82,Curitiba,MA,EPP
83,47422665808113,Delta Saúde 83,Curitiba,RS,MÉDIA
84,26151084544526,Brasil Obras 84,Fortaleza,PR,MÉDIA
85,39687508694422,Omega Consultoria 85,Porto Alegre,CE,EPP
86,70993264193025,Beta Tecnologia 86,Salvador,SP,GRANDE
87,62888010814025,Digital Soluções 87,Sobral,DF,MÉDIA
88,36999350932598,Delta Saúde 88,Juazeiro,RJ,GRANDE
89,62295501502240,Digital Soluções 89,Sobral,PR,EPP
90,65120672631736,Beta Tecnologia 90,Brasília,SP,GRANDE
91,12052348236395,Sul Engenharia 91,Belo Horizonte,PA,MEI
92,47633941534051,OMEGA CONSULTORIA 92,Belo Horizonte,MG,GRANDE
93,80446169158417,Central Sistemas 93,Rio de Janeiro,DF,EPP
94,34826251537969,Max Limpeza 94,Porto Alegre,RS,MEI
95,54163628497093,Digital Soluções 95,Salvador,AM,MÉDIA
96,24491704614458,Norte Transportes 96,Belém,RS,MÉDIA
97,52614045826733,Gamma Construções 97,São Paulo,MG,EPP
98,95839556398358,Norte Transportes 98,Belém,RN,ME
99,56860515864749,Norte Transportes 99,Curitiba,AM,MÉDIA
100,35610306119442,Delta Saúde 100,Curitiba,GO,MEI
101,84366272108989,Max Limpeza 101,Porto Alegre,GO,MÉDIA
102,58854437226236,OMEGA CONSULTORIA 102,Manaus,MA,MÉDIA
103,59863252384019,Top Energia 103,Manaus,MA,EPP
104,69938998704920,RÁPIDA LOGÍSTICA 104,Manaus,RJ,EPP
105,35311040319468,Max Limpeza 105,Belo Horizonte,GO,ME
106,75726602754293,Max Limpeza 106,Brasília,MA,MEI
107,79178273388519,BETA TECNOLOGIA 107,São Paulo,SP,EPP
108,65317853924396,Nova Segurança 108,Salvador,PA,ME
109,30719258312713,Max Limpeza 109,Sobral,SC,ME
110,22713593599358,Gamma Construções 110,Belo Horizonte,SP,EPP
111,43383005378983,Prime Alimentação 111,Recife,GO,EPP
112,51403053827395,Top Energia 112,Brasília,BA,ME
113,38542500282494,Delta Saúde 113,Fortaleza,MA,EPP
114,67134797361765,Gamma Construções 114,Recife,MA,MEI
115,56355141914832,Central Sistemas 115,Manaus,BA,GRANDE
116,99224451942326,Sul Engenharia 116,Brasília,PA,MEI
117,24814703579713,Omega Consultoria 117,Salvador,PE,MÉDIA
118,36891816491596,Rápida Logística 118,Belo Horizonte,MG,EPP
119,99313799236389,Max Limpeza 119,Recife,PA,MÉDIA
120,18183594773685,Top Energia 120,Porto Alegre,RS,EPP
121,90171323301089,Prime Alimentação 121,Belo Horizonte,GO,EPP
122,20438281566951,Delta Saúde 122,Recife,BA,MÉDIA
123,38433614119978,Max Limpeza 123,Fortaleza,PR,MEI
124,40202528695446,Norte Transportes 124,Rio de Janeiro,PA,GRANDE
125,43629195897518,Digital Soluções 125,Brasília,DF,MÉDIA
126,76295561772043,Brasil Obras 126,Belo Horizonte,RN,GRANDE
127,33621446104793,Brasil Obras 127,Salvador,CE,GRANDE
128,95295830316812,Alpha Serviços 128,Belém,PA,MEI
129,21048213160883,Delta Saúde 129,Belo Horizonte,PE,GRANDE
130,90272029237976,Digital Soluções 130,Belo Horizonte,DF,EPP
131,26134147430463,Alpha Serviços 131,Porto Alegre,PR,EPP
132,74793410887013,Brasil Obras 132,Brasília,RJ,ME
133,27679119352437,Norte Transportes 133,Rio de Janeiro,SP,MEI
134,99822506799538,Sul Engenharia 134,Juazeiro,RN,MEI
135,97464377549354,Omega Consultoria 135,Curitiba,RN,MEI
136,49032895229493,Beta Tecnologia 136,Sobral,BA,ME
137,11254265256830,Delta Saúde 137,Porto Alegre,RN,MÉDIA
138,35136775218611,Rápida Logística 138,Salvador,AM,MÉDIA
139,95523487693329,Nova Segurança 139,Belém,SC,MEI
140,36688168555692,Rápida Logística 140,São Paulo,RS,MÉDIA
141,72483618789461,Top Energia 141,Porto Alegre,PE,EPP
142,47533220279786,Norte Transportes 142,Fortaleza,PA,ME
143,82371206122573,Delta Saúde 143,Fortaleza,GO,EPP
144,17594929765083,Max Limpeza 144,Belo Horizonte,MA,MEI
145,21795197490421,Central Sistemas 145,Curitiba,MA,ME
146,61055398934717,Sul Engenharia 146,Juazeiro,MA,ME
147,45782037975736,Rápida Logística 147,Curitiba,MA,EPP
148,21899503539655,Rápida Logística 148,Curitiba,GO,MÉDIA
149,69657778382395,Max Limpeza 149,Sobral,BA,EPP
150,56892046357795,Central Sistemas 150,Manaus,PR,EPP
151,93232757549112,Gamma Construções 151,Porto Alegre,DF,GRANDE
152,63724249599623,Omega Consultoria 152,Rio de Janeiro,SC,MÉDIA
153,67057759856619,Gamma Construções 153,Rio de Janeiro,RJ,MEI
154,75099036226276,Delta Saúde 154,São Paulo,AM,GRANDE
155,47720288105895,Top Energia 155,Curitiba,DF,ME
156,24937333636326,Prime Alimentação 156,Curitiba,MG,EPP
157,76449297823848,Prime Alimentação 157,São Paulo,MG,MÉDIA
158,52064343670879,Omega Consultoria 158,Recife,DF,EPP
159,86228158116069,Top Energia 159,Juazeiro,PA,MÉDIA
160,19822959359183,Nova Segurança 160,Belo Horizonte,RN,EPP
161,32546185817051,Sul Engenharia 161,Belo Horizonte,DF,MÉDIA
162,30937666400757,Rápida Logística 162,Rio de Janeiro,AM,ME
163,78863244645393,Nova Segurança 163,Juazeiro,CE,GRANDE
164,88096504777963,Sul Engenharia 164,Fortaleza,RS,EPP
165,36087023471220,Norte Transportes 165,Belém,SC,EPP
166,43676563933747,Delta Saúde 166,Belo Horizonte,SP,EPP
167,20235593686695,Gamma Construções 167,Porto Alegre,PR,MEI
168,88074155346650,Prime Alimentação 168,Manaus,SP,MEI
169,57791485323033,Central Sistemas 169,Fortaleza,RN,MEI
170,31299612995076,Beta Tecnologia 170,Belo Horizonte,RJ,MÉDIA
171,85677072834895,Brasil Obras 171,Rio de Janeiro,SC,MEI
172,19475027893315,Alpha Serviços 172,Curitiba,AM,MÉDIA
173,52787890634941,Digital Soluções 173,Manaus,SP,GRANDE
